word,phonetic,pos,definition,source
tree,tri,,n.树（木）,外研社初中
building,'bɪldɪŋ,,n.建筑物,外研社初中
hall,hɔl,,n.大厅；会堂,外研社初中
dining hall,,,饭厅，饭堂,外研社初中
gate,ɡet,,n.大门,外研社初中
library,laɪˌbrɛrɪ,,n.图书馆,外研社初中
office,'ɔfɪs,,n.办公室,外研社初中
playground,'ple'graʊnd,,n.操场,外研社初中
science,'saɪəns,,n.科学；科学课,外研社初中
lab (= laboratory),,,n.实验室,外研社初中
behind,bɪ'haɪnd,,prep.在⋯⋯后面,外研社初中
between,bəˈtwin,,prep.在⋯⋯之间,外研社初中
middle,'mɪdl,,n.中间；中央,外研社初中
near,nɪr,,prep.靠近；接近,外研社初中
with,wɪð; wɪθ,,prep.与⋯⋯在一起；和；具有（品质、特征）,外研社初中
for,fɚ; strong form fɔr,,prep.为，为了,外研社初中
room,rum,,n.房间；室；屋子,外研社初中
food,fud,,n.食物，食品,外研社初中
drink,drɪŋk,,n.饮料 v.喝,外研社初中
candy,ˈkændɪ,,n.糖果,外研社初中
fruit,frut,,n.水果,外研社初中
meat,mit,,n.肉,外研社初中
vegetable,ˈvɛdʒtəbl,,n.蔬菜,外研社初中
apple,'æpl,,n.苹果,外研社初中
bean,bin,,n.豆,外研社初中
beef,bif,,n.牛肉,外研社初中
carrot,'kærət,,n.胡萝卜,外研社初中
chicken,'tʃɪkən,,n.鸡肉,外研社初中
chocolate,ˈtʃɑkələt,,n.巧克力,外研社初中
coffee,'kɔfi,,n.咖啡,外研社初中
cola,'kolə,,n.可乐,外研社初中
juice,dʒus,,n.果汁,外研社初中
milk,mɪlk,,n.牛奶,外研社初中
potato,pə'teto,,n.马铃薯，土豆,外研社初中
tea,ti,,n.茶,外研社初中
tomato,tə'meto,,n.西红柿，番茄,外研社初中
water,ˈwɔtɚ,,n.水,外研社初中
Shop,ʃɑp,,v.逛商店；购物,外研社初中
go shopping,,,去买东西，去购物,外研社初中
have,həv;hæv,,v aux.（助动词） v.有；吃，喝,外研社初中
get,ɡɛt,,v.得到,外研社初中
have got,,,有；拥有,外研社初中
some,sʌm;səm,,a.若干，一些；少量的 pron.一些，某些,外研社初中
much,mʌtʃ,,a.许多的，大量的,外研社初中
too much,,,太多,外研社初中
kind,kaɪnd,,n.种类,外研社初中
lots of,,,大量；许多,外研社初中
so,so,,conj.因此；所以,外研社初中
How about ⋯?,,,（征求意见）⋯⋯好吗？⋯⋯行吗？,外研社初中
has,hæz,,（have的第三人称单数现在式）,外研社初中
bad,bæd,,a.坏的；不好的,外研社初中
healthy,'hɛlθi,,a.健康的,外研社初中
delicious,dɪ'lɪʃəs,,a.美味的,外研社初中
bread,brɛd,,n.面包,外研社初中
fish,fɪʃ,,n.鱼肉；鱼,外研社初中
hamburger,ˈhæmˌbɜrgər,,n.汉堡包,外研社初中
ice cream,aɪs krim,,n.冰激凌,外研社初中
noodle,'nudl,,n.面条,外研社初中
rice,raɪs,,n.米；米饭,外研社初中
sugar,'ʃʊgɚ,,n.糖,外研社初中
eat,it,,v.吃,外研社初中
child,tʃaɪld,,n.（14岁以下的）小孩，儿童 (pl. children),外研社初中
be good for,,,对⋯⋯有帮助的,外研社初中
sweet,swit,,a.甜的,外研社初中
be bad for,,,对⋯⋯有害的,外研社初中
Right,raɪt,,a.正确的，对的,外研社初中
egg,ɛɡ,,n.蛋；鸡蛋,外研社初中
eye,aɪ,,n.眼睛,外研社初中
cheese,tʃiz,,n.奶酪,外研社初中
tooth,tuθ,,n.牙齿 (pl. teeth),外研社初中
bit,bɪt,,n.一点儿；少许,外研社初中
a bit,,,稍微；有点儿,外研社初中
tired,ˈtaɪrd,,a.劳累的,外研社初中
soup,sup,,n.汤,外研社初中
important,ɪm'pɔrtnt,,a.重要的,外研社初中
remember,rɪ'mɛmbɚ,,v.记住；想起,外研社初中
well,wɛl,,ad.好地,外研社初中
stay,steɪ,,v.保持；停留,外研社初中
fat,fæt,,a.肥胖的,外研社初中
get fat,,,发胖,外研社初中
or,ɔr,,conj.或者,外研社初中
breakfast,'brɛkfəst,,n.早饭,外研社初中
every,'ɛvri,,a.每个，每一,外研社初中
lunch,lʌntʃ,,n.午饭,外研社初中
home,hom,,n.家；家庭,外研社初中
dinner,'dɪnɚ,,n.晚饭；正餐,外研社初中
banana,bə'nænə,,n.香蕉,外研社初中
buy,baɪ,,v.买,外研社初中
half,hæf,,n.一半,外研社初中
past,pæst,,prep.晚于，过（几点）,外研社初中
o'clock,ə'klɑk,,ad.⋯⋯点钟,外研社初中
To,tə;tu;tuː,,prep.（距整点时间）差⋯⋯,外研社初中
art,ɑrt,,n.美术；艺术,外研社初中
geography,dʒiˈɑɡrəfɪ,,n.地理,外研社初中
history,ˈhɪstrɪ,,n.历史,外研社初中
IT,ɪt,,n.信息技术,外研社初中
maths (AmE math),,,n.数学,外研社初中
PE (= physical education),,,n.体育；体育课,外研社初中
lesson,'lɛsn,,n.（一节）课,外研社初中
then,ðɛn,,ad.接着，然后,外研社初中
Like,laɪk,,v.喜欢；喜爱,外研社初中
difficult,ˈdɪfɪkəlt,,a.困难的，难懂的,外研社初中
love,lʌv,,v.爱；热爱 n.喜爱；关爱,外研社初中
subject,ˈsʌbdʒɪkt;(for adj.)ˈsʌbdʒɪkt;(for v.)səbˈdʒɛkt,,n.科目,外研社初中
because,bɪ'kɔz,,conj.因为,外研社初中
interesting,'ɪntrəstɪŋ,,a.有趣的,外研社初中
talk,tɔk,,v.谈论，说话,外研社初中
begin,bɪ'ɡɪn,,v.开始,外研社初中
when,hwen; hwɛn,,ad.什么时候，何时,外研社初中
go to school,,,上学,外研社初中
weekday,'wikde,,n.工作日,外研社初中
get up,,,起床,外研社初中
have breakfast,hæv 'brɛkfəst,,吃早餐,外研社初中
house,haʊs,,n.房子；住宅,外研社初中
start,stɑrt,,v.开始,外研社初中
work,wɝk,,n.学习；工作 v.学习；工作,外研社初中
break,brek,,n.（课间）休息,外研社初中
have lunch,,,吃午餐,外研社初中
go home,,,回家,外研社初中
evening,'ivnɪŋ,,n.晚上,外研社初中
watch,wɑtʃ,,v.看，观看,外研社初中
have dinner,,,吃饭；吃晚餐,外研社初中
Do,du,,v.做；干,外研社初中
homework,'hom'wɝk,,n.家庭作业,外研社初中
bed,bɛd,,n.床,外研社初中
go to bed,,,上床睡觉,外研社初中
sleep,slip,,n.睡觉 v.睡觉,外研社初中
go to sleep,,,开始睡觉；入睡,外研社初中
park,pɑrk,,n.公园,外研社初中
busy,ˈbɪzɪ,,a.忙的；繁忙的,外研社初中
wash,wɔʃ,,v.洗；洗涤,外研社初中
face,fes,,n.脸,外研社初中
minute,'mɪnɪt,,n.分钟,外研社初中
grandma,ɡrænmɑ,,n.（外）祖母,外研社初中
grandpa,ˈɡrænˌpɑ,,n.（外）祖父,外研社初中
him,hɪm,,pron.（宾格）他,外研社初中
want,wɑnt,,v.想要；需要,外研社初中
make,mek,,v.做，制作,外研社初中
kitchen,'kɪtʃɪn,,n.厨房,外研社初中
farmer,'fɑmɚ,,n.农民,外研社初中
week,wik,,n.星期,外研社初中
read,rid; rɛd,,v.阅读；看懂,外研社初中
story,stɔrɪ,,n.故事,外研社初中
live,laɪv；lɪv,,v.生活；住,外研社初中
bear,bɛr,,n.熊,外研社初中
elephant,ˈɛləfənt,,n.大象,外研社初中
giraffe,dʒəˈræf; dʒəˈræf,,n.长颈鹿,外研社初中
lion,'laɪən,,n.狮子,外研社初中
monkey,'mʌŋki,,n.猴子,外研社初中
panda,'pændə,,n.熊猫,外研社初中
tiger,'taɪɡɚ,,n.老虎,外研社初中
zebra,ˈzibrə,,n.斑马,外研社初中
zoo,zu,,n.动物园,外研社初中
guide,ɡaɪd,,n.导游,外研社初中
animal,'ænɪml,,n.动物,外研社初中
such,sʌtʃ,,a.这样的；如此的,外研社初中
as,æz; əz,,prep.像⋯⋯一样,外研社初中
such as,,,比如,外研社初中
come,kʌm,,v.来,外研社初中
come from,,,来自,外研社初中
different,'dɪfrənt,,a.不同的,外研社初中
country,'kʌntri,,n.国家,外研社初中
other,'ʌðɚ,,a.其他的,外研社初中
dangerous,'dendʒərəs,,a.危险的,外研社初中
ugh,ɜ,,int.啊，哎呀,外研社初中
also,'ɔlso,,ad.也；而且,外研社初中
