word,phonetic,pos,definition,source
dominate,'dɑmɪnet,,v.控制；支配；占优势；在…中占主要地位,SAT
vacillate,'væsileit,,v.犹豫；踌躇；摇摆,SAT
proportionate,prə'pɔrʃənɪt,,a.成比例的；相称的；适当的 vt.使成比例；使相称,SAT
conformity,kən'fɔrməti,,n.一致，适合；符合；相似,SAT
axis,'æksɪs,,n.轴；轴线；轴心国,SAT
misrepresent,",mɪs,rɛprɪ'zɛnt",,v.歪曲，误传；不合适地代表,SAT
conductor,kən'dʌktɚ,,n.导体；售票员；领导者；管理人,SAT
travail,'trævel,,n.分娩的痛苦；艰苦劳动 v.辛勤努力；经受分娩的阵痛,SAT
inefficacious,",inefi'keiʃəs",,a.无用的；无效果的,SAT
excrement,'ɛkskrɪmənt,,n.粪便，排泄物,SAT
magnitude,'mæɡnɪtud,,n.大小；量级；[地震] 震级；重要；光度,SAT
orthodox,'ɔrθədɑks,,a.正统的；传统的；惯常的；东正教的 n.正统的人；正统的事物,SAT
colleague,'kɑliɡ,,n.同事，同僚,SAT
assignee,"ə,saɪ'ni",,n.代理人；受托人；分配到任务的人,SAT
brittle,'brɪtl,,a.易碎的，脆弱的；易生气的,SAT
assertion,ə'sɝʃən,,n.断言，声明；主张，要求；坚持；认定,SAT
confront,kən'frʌnt,,v.面对；遭遇；比较,SAT
peruse,pə'ruz,,v.详细考察；精读,SAT
deport,dɪ'pɔrt,,v.驱逐出境；举止；放逐 n.(Deport)人名；(捷)德波特；(法)德波尔,SAT
ludicrous,'ludɪkrəs,,a.滑稽的；荒唐的,SAT
advantage,əd'væntɪdʒ,,n.优势；利益；有利条件 v.获利,SAT
rag,ræɡ,,n.破布；碎屑 v.戏弄；责骂,SAT
amusement,ə'mjuzmənt,,n.消遣，娱乐；乐趣,SAT
intermittent,",ɪntɚ'mɪtənt",,a.间歇的；断断续续的；间歇性,SAT
exhaust,ɪɡ'zɔst,,v.排出；耗尽；使精疲力尽；彻底探讨 n.排气；废气；排气装置,SAT
suspicious,sə'spɪʃəs,,a.可疑的；怀疑的；多疑的,SAT
regress,rɪ'ɡrɛs,,v.逆行，倒退；复归 n.回归；退回,SAT
